  CUIMDZ01, 27.559, 27.559, 5.387, R-3
    CUNFIB, 4.166, 26.587, 24.096, P21/c
    CUNHEY, 23.181, 4.541, 22.842, C2/c
  CUPOCY01, 25.900, 3.800, 24.700, Unknown
  CUPOCY15, 26.333, 3.813, 23.712, C2/n
    CUSWIX, 5.860, 31.829, 40.783, F2dd
    CUVGEI, 67.498, 67.498, 10.846, R-3
  CUWPES01, 27.986, 4.615, 24.046, C2/c
    CUZYEE, 29.740, 4.641, 34.041, C2/c
  CXPMSO01, 32.244, 32.244, 4.790, R-3
    CYNCUB, 26.900, 3.800, 25.600, Unknown
    DABBIT, 24.445, 36.787, 4.577, Fdd2
    DADTEJ, 24.956, 4.293, 31.007, Cc
    DAGZIX, 27.674, 4.256, 24.010, C2/c
    DALHIL, 28.890, 5.586, 28.523, P21/c
    DALJEJ, 28.413, 4.957, 25.995, C2/c
    DAMSAM, 29.303, 29.303, 4.046, I41md
    DAMZOJ, 4.447, 39.390, 31.168, C2/c
    DAPHET, 22.990, 36.609, 3.711, Fdd2
  DAPHET01, 22.990, 36.609, 3.711, Fdd2
    DAPJEM, 29.002, 4.033, 20.711, P21/c
  DAPSUO18, 29.340, 5.841, 30.272, P21/n
    DAQZEB, 29.210, 3.809, 23.250, C2/c
    DATKUG, 23.440, 21.790, 3.776, Fdd2
    DATNIV, 30.160, 4.050, 23.410, Unknown
  DATNIV10, 30.161, 4.046, 23.414, C2/c
    DAVPOH, 27.392, 4.730, 23.686, C2/c
    DAZXUB, 3.937, 28.791, 23.060, P21/c
  DBFOXF10, 3.912, 20.406, 20.271, P21/c
    DCLPHM, 26.270, 26.270, 3.859, I41/a
  DCLPHM01, 26.127, 26.127, 3.793, I41/a
  DCLPHM02, 26.186, 26.186, 3.814, I41/a
  DCLPHM03, 26.251, 26.251, 3.852, I41/a
    DCPHOL, 20.880, 20.880, 3.975, P31
    DCPHOM, 40.150, 3.873, 30.260, C2/c
    DEBJAZ, 4.704, 28.612, 26.788, Pbcm
    DEDCEY, 31.857, 31.857, 4.040, P42212
    DEDCIC, 31.850, 31.850, 4.065, P42212
    DEFVES, 19.853, 19.853, 3.941, R3m
    DEGTAL, 29.891, 4.562, 23.470, C2/c
    DEHPAK, 33.094, 33.094, 4.640, I-4
    DEKGAD, 46.586, 46.586, 8.871, R-3
    DELMAJ, 41.528, 3.799, 26.545, C2/c
  DELMAJ01, 41.528, 3.799, 26.545, C2/c
    DEMCEE, 42.524, 42.524, 8.427, R-3
    DEMRUL, 26.198, 3.984, 27.569, C2/c
    DEMSOH, 41.314, 7.500, 37.852, C2/c
    DEPJIV, 3.748, 22.281, 22.312, P-1
    DEQLAM, 33.120, 33.120, 6.440, P-3
    DEVCIT, 46.342, 47.608, 7.006, Fdd2
    DEXGUL, 28.960, 28.960, 5.695, P32
    DEYTIN, 26.151, 3.886, 21.394, Pca21
  DHANQU04, 21.578, 3.766, 24.683, Pca21
    DHYANT, 21.040, 3.750, 20.120, Pa
  DHYANT01, 20.059, 3.685, 21.004, P21/c
    DIHBAA, 51.797, 51.797, 6.559, R-3
    DIMPUK, 20.490, 3.957, 21.477, C2/c
  DIMPUK10, 20.490, 3.957, 21.477, C2/c
    DINFEN, 27.571, 4.863, 33.133, C2/c
  DINFEN01, 27.571, 4.863, 33.133, C2/c
    DIPSIA, 19.700, 19.700, 3.710, Pbam
    DIPSIB, 31.020, 54.820, 3.700, Unknown
  DISQIG01, 24.824, 4.252, 22.746, Pca21
    DIVXAI, 36.964, 36.964, 7.285, R-3
    DIWVOW, 22.107, 3.715, 33.336, C2/c
    DIWVUC, 28.226, 3.776, 27.100, C2/c
    DIYSIQ, 8.227, 41.480, 53.185, P21/c
    DMHNIC, 29.290, 29.290, 5.780, R3
    DMXNPY, 24.314, 24.314, 4.005, R-3
    DOCPET, 3.886, 20.376, 20.703, P-1
    DOGNOE, 29.833, 29.833, 3.621, P6/m
    DOKQUR, 36.646, 5.975, 38.071, P21/c
    DOKRIF, 31.684, 6.224, 37.901, C2/c
    DOLBAI, 26.652, 26.652, 4.424, P42/n
    DOLMIA, 24.780, 3.978, 22.650, C2/c
    DOMZOW, 41.184, 41.184, 6.485, P3
    DONJEV, 23.793, 3.852, 27.004, P21/c
    DOPMOK, 46.670, 3.556, 22.920, Unknown
  DOPMOK01, 46.810, 3.617, 23.083, C2/c
  DOPMOK02, 46.800, 3.615, 23.104, C2/c
  DOPMOK03, 46.703, 3.596, 23.085, C2/c
  DOPMOK04, 46.490, 3.553, 22.920, P-1
  DOPMOK05, 46.688, 3.605, 23.054, P-1
  DOPMOK06, 46.790, 3.608, 23.109, C2/c
    DOPQAC, 3.851, 21.094, 23.513, P212121
    DOVWUI, 33.867, 3.913, 26.751, C2/c
    DOWHEC, 28.194, 4.791, 29.556, C2/c
  DTBENV10, 47.887, 47.887, 6.720, I41/a
    DUHJAS, 36.033, 37.681, 7.040, Fdd2
    DUJQOQ, 32.005, 3.804, 26.190, Pca21
    DULLOO, 23.625, 3.899, 26.313, P21/n
    DUMLOM, 35.781, 34.150, 6.382, Fdd2
    DUPBEW, 34.939, 85.482, 3.967, Fdd2
  DUSBEY09, 36.280, 4.286, 22.020, C2/c
  DUSBIC03, 36.517, 4.254, 22.117, C2/c
  DUSBIC04, 36.440, 4.256, 22.160, C2/c
  DUSBIC13, 36.517, 4.254, 22.117, C2/c
    DUSFAZ, 21.798, 3.993, 20.664, P21/c
    DUSKUY, 21.370, 3.990, 28.939, Pna21
  DUTPUD12, 38.879, 38.879, 5.904, R-3
    DUTZUQ, 28.217, 28.217, 5.610, R3
  EAZOBZ01, 23.360, 4.580, 32.240, C2/c
  EBASIN01, 49.879, 6.116, 40.469, C2/c
    EBAWEK, 19.769, 3.783, 24.983, C2/c
    EBEBEU, 23.580, 3.844, 32.150, Pna21
    EBIMIL, 36.617, 36.617, 7.301, R-3
    ECADUL, 23.947, 4.587, 29.163, P21/a
    ECERUB, 21.609, 4.060, 21.606, P2/c
    ECIGUV, 30.431, 4.769, 30.726, C2/c
    ECIQAK, 36.437, 40.212, 6.832, Fdd2
    ECITIU, 23.960, 23.234, 3.887, P212121
    ECITOA, 24.621, 22.888, 3.939, P212121
    ECITUG, 24.580, 22.740, 3.914, P212121
    ECIVAO, 24.270, 23.713, 3.916, P212121
    ECIVES, 24.429, 23.014, 3.816, P212121
    ECIVIW, 25.370, 23.573, 3.958, P212121
    ECOKOA, 50.830, 5.907, 32.660, Fdd2
    EDIXOI, 3.820, 21.443, 19.220, P21/n
    EDOHIS, 20.072, 3.803, 36.766, Pna21
    EDUKUM, 33.287, 5.605, 45.613, C2/c
    EDULAT, 33.795, 5.449, 45.610, C2/c
    EDUZIO, 34.524, 3.999, 23.428, Cc
    EFEZEX, 21.937, 33.803, 3.976, Pna21
    EGEDAV, 35.203, 35.203, 6.526, R-3
